"source_path","doc_kind","namespace_or_section","target_path","notes"
"docs/md/GTA.base/Console.Print.md","type-member","GTA.base","docs/reference/gta-base/console.md","Fold member page Print into the owning type reference page."
"docs/md/GTA.base/Console.SendCommand.md","type-member","GTA.base","docs/reference/gta-base/console.md","Fold member page SendCommand into the owning type reference page."
"docs/md/GTA.base/ConsoleMembers.md","type-member-list","GTA.base","docs/reference/gta-base/console.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/ConsoleMethods.md","type-member-list","GTA.base","docs/reference/gta-base/console.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/ConsoleProperties.md","type-member-list","GTA.base","docs/reference/gta-base/console.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/HandleObject.Equals_overload_1.md","member-overload","GTA.base","docs/reference/gta-base/handle-object.md","Collapse the Equals overload detail into the owning type page."
"docs/md/GTA.base/HandleObject.Equals_overload_2.md","member-overload","GTA.base","docs/reference/gta-base/handle-object.md","Collapse the Equals overload detail into the owning type page."
"docs/md/GTA.base/HandleObject.Equals_overloads.md","member-overload-list","GTA.base","docs/reference/gta-base/handle-object.md","Collapse the Equals overload summary into the owning type page."
"docs/md/GTA.base/HandleObject.GetHashCode.md","type-member","GTA.base","docs/reference/gta-base/handle-object.md","Fold member page GetHashCode into the owning type reference page."
"docs/md/GTA.base/HandleObject.md","type-page","GTA.base","docs/reference/gta-base/handle-object.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/HandleObject.Metadata.md","type-member","GTA.base","docs/reference/gta-base/handle-object.md","Fold member page Metadata into the owning type reference page."
"docs/md/GTA.base/HandleObject.op_Equality.md","type-member","GTA.base","docs/reference/gta-base/handle-object.md","Fold member page op_Equality into the owning type reference page."
"docs/md/GTA.base/HandleObject.op_Inequality.md","type-member","GTA.base","docs/reference/gta-base/handle-object.md","Fold member page op_Inequality into the owning type reference page."
"docs/md/GTA.base/HandleObjectHierarchy.md","type-hierarchy","GTA.base","docs/reference/gta-base/handle-object.md","Fold the hierarchy content into the owning type reference page."
"docs/md/GTA.base/HandleObjectMembers.md","type-member-list","GTA.base","docs/reference/gta-base/handle-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/HandleObjectMethods.md","type-member-list","GTA.base","docs/reference/gta-base/handle-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/HandleObjectOperators.md","type-member-list","GTA.base","docs/reference/gta-base/handle-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/HandleObjectProperties.md","type-member-list","GTA.base","docs/reference/gta-base/handle-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iAddressableObject.md","type-page","GTA.base","docs/reference/gta-base/i-addressable-object.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/iAddressableObject.MemoryAddress.md","type-member","GTA.base","docs/reference/gta-base/i-addressable-object.md","Fold member page MemoryAddress into the owning type reference page."
"docs/md/GTA.base/iAddressableObjectMembers.md","type-member-list","GTA.base","docs/reference/gta-base/i-addressable-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iAddressableObjectProperties.md","type-member-list","GTA.base","docs/reference/gta-base/i-addressable-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iBaseObject.Exists.md","type-member","GTA.base","docs/reference/gta-base/i-base-object.md","Fold member page Exists into the owning type reference page."
"docs/md/GTA.base/iBaseObject.md","type-page","GTA.base","docs/reference/gta-base/i-base-object.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/iBaseObjectMembers.md","type-member-list","GTA.base","docs/reference/gta-base/i-base-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iBaseObjectMethods.md","type-member-list","GTA.base","docs/reference/gta-base/i-base-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iBurnable.isOnFire.md","type-member","GTA.base","docs/reference/gta-base/i-burnable.md","Fold member page isOnFire into the owning type reference page."
"docs/md/GTA.base/iBurnable.md","type-page","GTA.base","docs/reference/gta-base/i-burnable.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/iBurnableMembers.md","type-member-list","GTA.base","docs/reference/gta-base/i-burnable.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iBurnableProperties.md","type-member-list","GTA.base","docs/reference/gta-base/i-burnable.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iComplexObject.md","type-page","GTA.base","docs/reference/gta-base/i-complex-object.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/iD3DObject.GetD3DObjectID.md","type-member","GTA.base","docs/reference/gta-base/i-d3-d-object.md","Fold member page GetD3DObjectID into the owning type reference page."
"docs/md/GTA.base/iD3DObject.md","type-page","GTA.base","docs/reference/gta-base/i-d3-d-object.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/iD3DObject.Reload.md","type-member","GTA.base","docs/reference/gta-base/i-d3-d-object.md","Fold member page Reload into the owning type reference page."
"docs/md/GTA.base/iD3DObject.Unload.md","type-member","GTA.base","docs/reference/gta-base/i-d3-d-object.md","Fold member page Unload into the owning type reference page."
"docs/md/GTA.base/iD3DObjectMembers.md","type-member-list","GTA.base","docs/reference/gta-base/i-d3-d-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iD3DObjectMethods.md","type-member-list","GTA.base","docs/reference/gta-base/i-d3-d-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iDeletable.Delete.md","type-member","GTA.base","docs/reference/gta-base/i-deletable.md","Fold member page Delete into the owning type reference page."
"docs/md/GTA.base/iDeletable.md","type-page","GTA.base","docs/reference/gta-base/i-deletable.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/iDeletableMembers.md","type-member-list","GTA.base","docs/reference/gta-base/i-deletable.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iDeletableMethods.md","type-member-list","GTA.base","docs/reference/gta-base/i-deletable.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iForce.ApplyForce_overload_1.md","member-overload","GTA.base","docs/reference/gta-base/i-force.md","Collapse the ApplyForce overload detail into the owning type page."
"docs/md/GTA.base/iForce.ApplyForce_overload_2.md","member-overload","GTA.base","docs/reference/gta-base/i-force.md","Collapse the ApplyForce overload detail into the owning type page."
"docs/md/GTA.base/iForce.ApplyForce_overloads.md","member-overload-list","GTA.base","docs/reference/gta-base/i-force.md","Collapse the ApplyForce overload summary into the owning type page."
"docs/md/GTA.base/iForce.ApplyForceRelative_overload_1.md","member-overload","GTA.base","docs/reference/gta-base/i-force.md","Collapse the ApplyForceRelative overload detail into the owning type page."
"docs/md/GTA.base/iForce.ApplyForceRelative_overload_2.md","member-overload","GTA.base","docs/reference/gta-base/i-force.md","Collapse the ApplyForceRelative overload detail into the owning type page."
"docs/md/GTA.base/iForce.ApplyForceRelative_overloads.md","member-overload-list","GTA.base","docs/reference/gta-base/i-force.md","Collapse the ApplyForceRelative overload summary into the owning type page."
"docs/md/GTA.base/iForce.md","type-page","GTA.base","docs/reference/gta-base/i-force.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/iForce.Velocity.md","type-member","GTA.base","docs/reference/gta-base/i-force.md","Fold member page Velocity into the owning type reference page."
"docs/md/GTA.base/iForceMembers.md","type-member-list","GTA.base","docs/reference/gta-base/i-force.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iForceMethods.md","type-member-list","GTA.base","docs/reference/gta-base/i-force.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iForceProperties.md","type-member-list","GTA.base","docs/reference/gta-base/i-force.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iFreezable.FreezePosition.md","type-member","GTA.base","docs/reference/gta-base/i-freezable.md","Fold member page FreezePosition into the owning type reference page."
"docs/md/GTA.base/iFreezable.md","type-page","GTA.base","docs/reference/gta-base/i-freezable.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/iFreezableMembers.md","type-member-list","GTA.base","docs/reference/gta-base/i-freezable.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iFreezableProperties.md","type-member-list","GTA.base","docs/reference/gta-base/i-freezable.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iGroup.AddMember.md","type-member","GTA.base","docs/reference/gta-base/i-group.md","Fold member page AddMember into the owning type reference page."
"docs/md/GTA.base/iGroup.Leader.md","type-member","GTA.base","docs/reference/gta-base/i-group.md","Fold member page Leader into the owning type reference page."
"docs/md/GTA.base/iGroup.md","type-page","GTA.base","docs/reference/gta-base/i-group.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/iGroup.MemberCount.md","type-member","GTA.base","docs/reference/gta-base/i-group.md","Fold member page MemberCount into the owning type reference page."
"docs/md/GTA.base/iGroupMembers.md","type-member-list","GTA.base","docs/reference/gta-base/i-group.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iGroupMethods.md","type-member-list","GTA.base","docs/reference/gta-base/i-group.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iGroupProperties.md","type-member-list","GTA.base","docs/reference/gta-base/i-group.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iHandleObject.Handle.md","type-member","GTA.base","docs/reference/gta-base/i-handle-object.md","Fold member page Handle into the owning type reference page."
"docs/md/GTA.base/iHandleObject.md","type-page","GTA.base","docs/reference/gta-base/i-handle-object.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/iHandleObject.Metadata.md","type-member","GTA.base","docs/reference/gta-base/i-handle-object.md","Fold member page Metadata into the owning type reference page."
"docs/md/GTA.base/iHandleObjectMembers.md","type-member-list","GTA.base","docs/reference/gta-base/i-handle-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iHandleObjectProperties.md","type-member-list","GTA.base","docs/reference/gta-base/i-handle-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iInteriorObject.CurrentRoom.md","type-member","GTA.base","docs/reference/gta-base/i-interior-object.md","Fold member page CurrentRoom into the owning type reference page."
"docs/md/GTA.base/iInteriorObject.md","type-page","GTA.base","docs/reference/gta-base/i-interior-object.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/iInteriorObjectMembers.md","type-member-list","GTA.base","docs/reference/gta-base/i-interior-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iInteriorObjectProperties.md","type-member-list","GTA.base","docs/reference/gta-base/i-interior-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iMissionObject.isRequiredForMission.md","type-member","GTA.base","docs/reference/gta-base/i-mission-object.md","Fold member page isRequiredForMission into the owning type reference page."
"docs/md/GTA.base/iMissionObject.md","type-page","GTA.base","docs/reference/gta-base/i-mission-object.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/iMissionObjectMembers.md","type-member-list","GTA.base","docs/reference/gta-base/i-mission-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iMissionObjectProperties.md","type-member-list","GTA.base","docs/reference/gta-base/i-mission-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iModelObject.md","type-page","GTA.base","docs/reference/gta-base/i-model-object.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/iModelObject.Model.md","type-member","GTA.base","docs/reference/gta-base/i-model-object.md","Fold member page Model into the owning type reference page."
"docs/md/GTA.base/iModelObjectMembers.md","type-member-list","GTA.base","docs/reference/gta-base/i-model-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iModelObjectProperties.md","type-member-list","GTA.base","docs/reference/gta-base/i-model-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/index.md","namespace-index","GTA.base","docs/reference/gta-base/index.md","Namespace landing page retained as the entry point for generated API reference."
"docs/md/GTA.base/iPositioned.md","type-page","GTA.base","docs/reference/gta-base/i-positioned.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/iPositioned.Position.md","type-member","GTA.base","docs/reference/gta-base/i-positioned.md","Fold member page Position into the owning type reference page."
"docs/md/GTA.base/iPositionedMembers.md","type-member-list","GTA.base","docs/reference/gta-base/i-positioned.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iPositionedProperties.md","type-member-list","GTA.base","docs/reference/gta-base/i-positioned.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iRequestable.md","type-page","GTA.base","docs/reference/gta-base/i-requestable.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/iRequestable.NoLongerNeeded.md","type-member","GTA.base","docs/reference/gta-base/i-requestable.md","Fold member page NoLongerNeeded into the owning type reference page."
"docs/md/GTA.base/iRequestableMembers.md","type-member-list","GTA.base","docs/reference/gta-base/i-requestable.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iRequestableMethods.md","type-member-list","GTA.base","docs/reference/gta-base/i-requestable.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iRotatable.Direction.md","type-member","GTA.base","docs/reference/gta-base/i-rotatable.md","Fold member page Direction into the owning type reference page."
"docs/md/GTA.base/iRotatable.Heading.md","type-member","GTA.base","docs/reference/gta-base/i-rotatable.md","Fold member page Heading into the owning type reference page."
"docs/md/GTA.base/iRotatable.md","type-page","GTA.base","docs/reference/gta-base/i-rotatable.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/iRotatableMembers.md","type-member-list","GTA.base","docs/reference/gta-base/i-rotatable.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iRotatableProperties.md","type-member-list","GTA.base","docs/reference/gta-base/i-rotatable.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iVisibleObject.md","type-page","GTA.base","docs/reference/gta-base/i-visible-object.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/iVisibleObject.Visible.md","type-member","GTA.base","docs/reference/gta-base/i-visible-object.md","Fold member page Visible into the owning type reference page."
"docs/md/GTA.base/iVisibleObjectMembers.md","type-member-list","GTA.base","docs/reference/gta-base/i-visible-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/iVisibleObjectProperties.md","type-member-list","GTA.base","docs/reference/gta-base/i-visible-object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/Mouse.Enabled.md","type-member","GTA.base","docs/reference/gta-base/mouse.md","Fold member page Enabled into the owning type reference page."
"docs/md/GTA.base/Mouse.isButtonDown.md","type-member","GTA.base","docs/reference/gta-base/mouse.md","Fold member page isButtonDown into the owning type reference page."
"docs/md/GTA.base/Mouse.md","type-page","GTA.base","docs/reference/gta-base/mouse.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/Mouse.Movement.md","type-member","GTA.base","docs/reference/gta-base/mouse.md","Fold member page Movement into the owning type reference page."
"docs/md/GTA.base/Mouse.MovementPixel.md","type-member","GTA.base","docs/reference/gta-base/mouse.md","Fold member page MovementPixel into the owning type reference page."
"docs/md/GTA.base/Mouse.Position.md","type-member","GTA.base","docs/reference/gta-base/mouse.md","Fold member page Position into the owning type reference page."
"docs/md/GTA.base/Mouse.PositionPixel.md","type-member","GTA.base","docs/reference/gta-base/mouse.md","Fold member page PositionPixel into the owning type reference page."
"docs/md/GTA.base/Mouse.PressedButtons.md","type-member","GTA.base","docs/reference/gta-base/mouse.md","Fold member page PressedButtons into the owning type reference page."
"docs/md/GTA.base/MouseMembers.md","type-member-list","GTA.base","docs/reference/gta-base/mouse.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/MouseMethods.md","type-member-list","GTA.base","docs/reference/gta-base/mouse.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/MouseProperties.md","type-member-list","GTA.base","docs/reference/gta-base/mouse.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/Object.Exists.md","type-member","GTA.base","docs/reference/gta-base/object.md","Fold member page Exists into the owning type reference page."
"docs/md/GTA.base/Object.md","type-page","GTA.base","docs/reference/gta-base/object.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/ObjectConstructor1.md","type-constructor","GTA.base","docs/reference/gta-base/object.md","Merge constructor details into the owning type reference page."
"docs/md/GTA.base/ObjectMembers.md","type-member-list","GTA.base","docs/reference/gta-base/object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/ObjectMethods.md","type-member-list","GTA.base","docs/reference/gta-base/object.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/ReadOnlyCollection[].Contains.md","type-member","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Fold member page Contains into the owning type reference page."
"docs/md/GTA.base/ReadOnlyCollection[].CopyTo_overload_1.md","member-overload","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Collapse the CopyTo overload detail into the owning type page."
"docs/md/GTA.base/ReadOnlyCollection[].CopyTo_overloads.md","member-overload-list","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Collapse the CopyTo overload summary into the owning type page."
"docs/md/GTA.base/ReadOnlyCollection[].Count.md","type-member","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Fold member page Count into the owning type reference page."
"docs/md/GTA.base/ReadOnlyCollection[].GetEnumerator.md","type-member","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Fold member page GetEnumerator into the owning type reference page."
"docs/md/GTA.base/ReadOnlyCollection[].IndexOf.md","type-member","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Fold member page IndexOf into the owning type reference page."
"docs/md/GTA.base/ReadOnlyCollection[].isReadOnly.md","type-member","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Fold member page isReadOnly into the owning type reference page."
"docs/md/GTA.base/ReadOnlyCollection[].Item.md","type-member","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Fold member page Item into the owning type reference page."
"docs/md/GTA.base/ReadOnlyCollection[].md","type-page","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/ReadOnlyCollection[].pAdd.md","type-member","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Fold member page pAdd into the owning type reference page."
"docs/md/GTA.base/ReadOnlyCollection[].pClear.md","type-member","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Fold member page pClear into the owning type reference page."
"docs/md/GTA.base/ReadOnlyCollection[].pInsert.md","type-member","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Fold member page pInsert into the owning type reference page."
"docs/md/GTA.base/ReadOnlyCollection[].pList.md","type-member","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Fold member page pList into the owning type reference page."
"docs/md/GTA.base/ReadOnlyCollection[].pRemove.md","type-member","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Fold member page pRemove into the owning type reference page."
"docs/md/GTA.base/ReadOnlyCollection[].pRemoveAt.md","type-member","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Fold member page pRemoveAt into the owning type reference page."
"docs/md/GTA.base/ReadOnlyCollection[]Constructor1.md","type-constructor","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Merge constructor details into the owning type reference page."
"docs/md/GTA.base/ReadOnlyCollection[]Fields.md","type-member-list","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/ReadOnlyCollection[]Members.md","type-member-list","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/ReadOnlyCollection[]Methods.md","type-member-list","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/ReadOnlyCollection[]Properties.md","type-member-list","GTA.base","docs/reference/gta-base/read-only-collection-array.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/ScriptChild.md","type-page","GTA.base","docs/reference/gta-base/script-child.md","Keep as a standalone generated type reference page."
"docs/md/GTA.base/ScriptChild.Parent.md","type-member","GTA.base","docs/reference/gta-base/script-child.md","Fold member page Parent into the owning type reference page."
"docs/md/GTA.base/ScriptChildMembers.md","type-member-list","GTA.base","docs/reference/gta-base/script-child.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.base/ScriptChildProperties.md","type-member-list","GTA.base","docs/reference/gta-base/script-child.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.Euphoria/ArmsWindmillHelper.DisableOnImpact.md","type-member","GTA.Euphoria","docs/reference/gta-euphoria/arms-windmill-helper.md","Fold member page DisableOnImpact into the owning type reference page."
"docs/md/GTA.Euphoria/ArmsWindmillHelper.md","type-page","GTA.Euphoria","docs/reference/gta-euphoria/arms-windmill-helper.md","Keep as a standalone generated type reference page."
"docs/md/GTA.Euphoria/ArmsWindmillHelperConstructor1.md","type-constructor","GTA.Euphoria","docs/reference/gta-euphoria/arms-windmill-helper.md","Merge constructor details into the owning type reference page."
"docs/md/GTA.Euphoria/ArmsWindmillHelperMembers.md","type-member-list","GTA.Euphoria","docs/reference/gta-euphoria/arms-windmill-helper.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.Euphoria/ArmsWindmillHelperProperties.md","type-member-list","GTA.Euphoria","docs/reference/gta-euphoria/arms-windmill-helper.md","Consolidate list-style member inventory into the owning type reference page."
"docs/md/GTA.Euphoria/BaseHelper.GetFeedback.md","type-member","GTA.Euphoria","docs/reference/gta-euphoria/base-helper.md","Fold member page GetFeedback into the owning type reference page."
"docs/md/GTA.Euphoria/BaseHelper.md","type-page","GTA.Euphoria","docs/reference/gta-euphoria/base-helper.md","Keep as a standalone generated type reference page."
